Selected: MPU9250
Beginning Gyro calibration...
Offsets are: 0.011681 -0.000254 0.002615
Let's go Fly ! 
  -5.26, +167.18,   -4.10,   +0.14,   -0.12,   -0.09,   +0.05,   -2.60,   -0.00,   +0.80,  -25.47,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 1543.4756, 0
  -5.28, +167.07,   -4.10,   +0.26,   +0.12,   +0.27,   +0.05,   -2.60,   -0.00,   +0.80,  -25.45,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1010 ,1010, 0.0057, 174
  -5.31, +167.00,   -4.11,   +0.01,   +0.00,   +0.09,   +0.05,   -2.60,   -0.00,   +0.80,  -25.44,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0054, 183
  -5.33, +166.92,   -4.11,   -0.11,   -0.06,   -0.03,   +0.05,   -2.60,   -0.00,   +0.81,  -25.43,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0054, 185
  -5.37, +166.85,   -4.12,   +0.08,   +0.25,   -0.40,   +0.05,   -2.60,   -0.00,   +0.81,  -25.42,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0055, 183
  -5.39, +166.78,   -4.13,   -0.17,   -0.06,   -0.03,   +0.05,   -2.60,   -0.00,   +0.82,  -25.41,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0054, 186
  -5.42, +166.70,   -4.13,   +0.01,   -0.06,   -0.09,   +0.05,   -2.60,   -0.00,   +0.82,  -25.39,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0054, 185
  -5.45, +166.62,   -4.14,   +0.20,   +0.25,   -0.09,   +0.05,   -2.60,   -0.00,   +0.83,  -25.38,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0055, 183
  -5.48, +166.55,   -4.15,   -0.11,   +0.12,   +0.09,   +0.05,   -2.60,   -0.00,   +0.83,  -25.37,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0055, 181
  -5.51, +166.47,   -4.16,   +0.08,   -0.18,   +0.39,   +0.05,   -2.60,   -0.00,   +0.83,  -25.36,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0054, 184
  -5.54, +166.40,   -4.16,   +0.08,   -0.12,   +0.03,   +0.05,   -2.60,   -0.00,   +0.84,  -25.35,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0055, 182
  -5.57, +166.32,   -4.17,   +0.01,   -0.36,   -0.09,   +0.05,   -2.60,   -0.00,   +0.84,  -25.34,   +0.00, 1509, 1504 ,1516 ,1078, 1000, 1000 ,1009 ,1010, 0.0054, 184
